,title,author,length of book,unique words,published on,updated date,language
580,"Roman History, Books I-III",Titus Livius,32202.0,6803.0,"January 25, 2004",,English
581,Cinderella,Henry W. Hewet,68053.0,11541.0,"January 25, 2004",,English
582,The Village in the Mountains; Conversion of Peter Bayssiere; and History of a Bible,Anonymous,18035.0,3861.0,"January 25, 2004",,English
583,"Carnacki, The Ghost Finder",William Hope Hodgson,40053.0,8844.0,"January 25, 2004 ",,English
584,"The Essays of Arthur Schopenhauer; Religion, A Dialogue, Etc.",Arthur Schopenhauer,171737.0,30987.0,"January 25, 2004 ",,English
585,The History of Insects,Unknown,56431.0,10528.0,"January 25, 2004 ",,English
586,"Dr. Johnson's Works: Life, Poems, and Tales, Volume 1",Samuel Johnson,26340.0,6509.0,"January 25, 2004",,English
587,The Soul of Democracy,Edward Howard Griggs,89117.0,18535.0,"January 26, 2004",,English
588,"The Mirror of Literature, Amusement, and Instruction, Vol. 13,",Various,28786.0,5812.0,"January 26, 2004 ",,English
589,Sugar and Spice,James Johnson,57798.0,9929.0,"January 26, 2004 ",,English
590,The Explorers of Australia and their Life-work,Ernest Favenc,105618.0,17177.0,"January 26, 2004",,English
591,The Life of Captain James Cook,Arthur Kitson,110183.0,11074.0,"January 27, 2004",,English
592,The Mental Life of Monkeys and Apes,Robert M. Yerkes,37779.0,7812.0,"January 27, 2004",,English
593,A Gentleman from Mississippi,Thomas A. Wise,70732.0,12745.0,"January 28, 2004",,English
594,"The Mirror of Literature, Amusement, and Instruction, Vol. 12,",Various,134774.0,22756.0,"January 28, 2004 ",,English
595,Seekers after God,Frederic William Farrar,65568.0,10075.0,"January 28, 2004 ",,English
596,The Maids Tragedy,Francis Beaumont and John Fletcher,34827.0,9133.0,"January 28, 2004",,English
597,Natalie,Ferna Vale,103299.0,16946.0,"January 28, 2004",,English
598,Saved at Sea,Mrs. O.F. Walton,127961.0,14456.0,"January 28, 2004",,English
599,Philaster,Francis Beaumont and John Fletcher,85998.0,18594.0,"January 28, 2004",,English
600,The Works of Charles and Mary Lamb (Vol. 6),Charles and Mary Lamb,85385.0,14494.0,"January 28, 2004",,English
601,Hardy Ornamental Flowering Trees and Shrubs,A. D. Webster,80329.0,11294.0,"January 28, 2004",,English
602,Our Gift,"Teachers of the School Street Universalist Sunday School, Boston",9382.0,3247.0,"January 28, 2004",,English
603,"Atlantic Monthly, Vol. VI.,October, 1860.--No. XXXVI.",Various,14336.0,4323.0,"January 28, 2004",,English
604,Is Mars Habitable?,Alfred Russel Wallace,17929.0,4977.0,"January 28, 2004",,English
605,A Narrative Of The Siege Of Delhi,Charles John Griffiths,15592.0,4315.0,"January 28, 2004",,English
606,My Native Land,James Cox,14935.0,4276.0,"January 28, 2004",,English
607,"A Compilation of the Messages and Papers of the Presidents,",Edited by James D. Richardson,15228.0,4241.0,"January 28, 2004",,English
608,Paul and Virginia,Bernadin de Saint-Pierre,64869.0,11468.0,"January 28, 2004",,English
609,The Gracchi Marius and Sulla,A.H. Beesley,74268.0,14722.0,"January 29, 2004",,English
610,Paris under the Commune,John Leighton,68934.0,8548.0,"January 29, 2004",,English
611,The White Waterfall,James Francis Dwyer,30276.0,6525.0,"January 29, 2004",,English
612,A Visit to the Monastery of La Trappe in 1817,W.D. Fellowes,52213.0,9931.0,"January 29, 2004",,English
613,Play-Making,William Archer,52029.0,11343.0,"January 29, 2004",,English
614,The Dolorous Passion of Our Lord Jesus Christ,Anna Catherine Emmerich,120660.0,15064.0,"January 30, 2004 ",,English
615,"Atlantic Monthly, Vol. II., November, 1858., No. XIII.",Various,156357.0,21510.0,"January 30, 2004",,English
616,Clerambault,"Rolland, Romain",98953.0,19968.0,"January 30, 2004",,English
617,The Abandoned Room,Wadsworth Camp,100740.0,18861.0,"January 30, 2004",,English
618,Are You A Bromide?,Gelett Burgess,15162.0,4117.0,"January 30, 2004",,English
619,"At Sunwich Port, Part 1.",W.W. Jacobs,69532.0,15630.0,"January 30, 2004",,English
620,"At Sunwich Port, Part 2.",W.W. Jacobs,99790.0,15278.0,"January 30, 2004",,English
621,"At Sunwich Port, Part 3.",W.W. Jacobs,64255.0,9132.0,"January 30, 2004",,English
622,"At Sunwich Port, Part 4.",W.W. Jacobs,68238.0,8503.0,"January 30, 2004",,English
623,"At Sunwich Port, Part 5.",W.W. Jacobs,43565.0,6567.0,"January 30, 2004",,English
624,"At Sunwich Port, Complete",W.W. Jacobs,58690.0,7862.0,"October 29, 2006",,English
625,The Tragedies of the Medici,Edgcumbe Staley,15346.0,5239.0,"January 30, 2004",,English
626,The Mule,Harvey Riley,84467.0,16705.0,"January 30, 2004","October 24, 2020]",English
627,A Compilation of Messages and Letters of the Presidents,Editor: James D. Richardson,54887.0,11360.0,"January 30, 2004",,English
628,Teddy's Button,Amy Le Feuvre,16571.0,4729.0,"January 31, 2004",,English
629,Crescent and Iron Cross,E. F. Benson,18116.0,4054.0,"January 31, 2004",,English
630,The Eagle's Shadow,James Branch Cabell,14436.0,5119.0,"January 31, 2004",,English
631,"Dio's Rome, Vol. 4",Cassius Dio,21764.0,5429.0,"January 31, 2004",,English
632,A Publisher and His Friends,Samuel Smiles,221585.0,18756.0,"January 31, 2004",,English
633,"Stories from the Italian Poets: With Lives of the Writers, Volume 1",Leigh Hunt,114757.0,14772.0,"January 31, 2004",,English
634,The Untamed,Max Brand,10274.0,3686.0,"January 31, 2004","March 17, 2011]",English
635,Babylonian and Assyrian Literature,Anonymous,61279.0,12682.0,"January 31, 2004",,English
636,"Arthur Hamilton, and His Dog",Anonymous,9074.0,3367.0,"January 31, 2004",,English
637,The Life and Romances of Mrs. Eliza Haywood,George Frisbie Whicher,17212.0,5300.0,"January 31, 2004",,English
638,"Dio's Rome, Volume V., Books 61-76 (A.D. 54-211)",Cassius Dio,6531.0,2170.0,"January 31, 2004",,English
639,Algonquin Indian Tales,Egerton R. Young,42489.0,8387.0,"January 31, 2004",,English
640,A Compilation of the Messages and Papers of the Presidents,Edited by James D. Richardson,32789.0,7924.0,"January 31, 2004",,English
641,A Compilation of the Messages and Papers of the Presidents,Edited by James D. Richardson,150996.0,11257.0,"January 31, 2004",,English
642,A Compilation of the Messages and Papers of the Presidents,Edited by James D. Richardson,117487.0,19610.0,"January 31, 2004",,English
643,"The Mirror of Literature, Amusement, and Instruction,",Various,74195.0,13791.0,"January 31, 2004",,English
644,The Wendigo,Algernon Blackwood,15460.0,5536.0,"January 31, 2004","March 10, 2012]",English
645,"American Scenes, and Christian Slavery",Ebenezer Davies,131928.0,20227.0,"February 1, 2004",,English
646,Olivia in India,O. Douglas,93802.0,21467.0,"February 1, 2004",,English
647,Three Young Knights,Annie Hamilton Donnell,101851.0,14051.0,"February 1, 2004",,English
648,Big and Little Sisters,Theodora R. Jenness,89361.0,13898.0,"February 1, 2004",,English
649,"Punch, or the London Charivari, Vol. 153, Oct. 17, 1917",Various,101354.0,12771.0,"February 1, 2004 ",,English
650,Frank Merriwell's Nobility,Burt L. Standish (AKA Gilbert Patten),4210.0,1491.0,"February 1, 2004",,English
651,"Phantom Fortune, A Novel",M. E. Braddon,118664.0,17718.0,"February 1, 2004","August 4, 2013]",English
652,The History of Rome; Books Nine to Twenty-Six,Titus Livius,18892.0,6299.0,"February 1, 2004 ",,English
653,Manual for Noncommissioned Officers and Privates of Infantry,War Department,19766.0,6213.0,"February 1, 2004",,English
654,"Robert Louis Stevenson, an Elegy; And Other Poems",Richard Le Gallienne,156626.0,17421.0,"February 2, 2004",,English
655,Buried Alive: A Tale of These Days,Arnold Bennett,40583.0,9112.0,"February 2, 2004",,English
656,The Infant's Delight: Poetry,Anonymous,22778.0,5766.0,"February 2, 2004",,English
657,English Poems,Richard Le Gallienne,161611.0,20253.0,"February 2, 2004",,English
658,The Girl's Cabinet of Instructive and Moral Stories,Uncle Philip,153707.0,23708.0,"February 2, 2004 ",,English
659,"Parent and Child Vol. III., Child Study and Training",Mosiah Hall,161015.0,24392.0,"February 2, 2004",,English
660,The Log of a Noncombatant,Horace Green,51329.0,11116.0,"February 3, 2004",,English
661,A Compilation of the Messages and Papers of the Presidents,James D. Richardson,43745.0,8499.0,"February 3, 2004",,English
662,"Two Years Ago, Volume I",Charles Kingsley,59144.0,14137.0,"February 3, 2004",,English
663,Young Lives,Richard Le Gallienne,46477.0,11286.0,"February 3, 2004",,English
664,"Punch, or the London Charivari, Vol. 153, Aug 29, 1917",Various,53167.0,9239.0,"February 3, 2004 ",,English
665,The Lands of the Saracen,Bayard Taylor,36458.0,6777.0,"February 3, 2004",,English
666,"A Collection Of Old English Plays, Vol. IV.",Editor: A.H. Bullen,49183.0,9516.0,"February 3, 2004",,English
667,Saxe Holm's Stories,Helen Hunt Jackson,16151.0,5442.0,"February 3, 2004",,English
668,The Dog Crusoe and His Master,Robert Michael Ballantyne,88891.0,9959.0,"February 4, 2004",,English
669,The Buccaneer Farmer,Harold Bindloss,17052.0,5825.0,"February 4, 2004",,English
670,"The Lullaby, With Original Engravings",John R. Bolles,46690.0,9962.0,"February 4, 2004",,English
671,Over the Pass,Frederick Palmer,117539.0,18742.0,"February 4, 2004",,English
672,"Punchinello, Vol. II. No. 38, Saturday, December 17, 1870.",Various,45216.0,8000.0,"February 4, 2004",,English
673,"Punchinello, Vol. II., No. 39., Saturday, December 24, 1870.",Various,65573.0,13609.0,"February 4, 2004",,English
674,The Wonderful Adventures of Nils,Selma Lagerloef,53302.0,10450.0,"February 4, 2004",,English
675,The Girl Aviators' Motor Butterfly,Margaret Burnham,60646.0,9522.0,"February 4, 2004",,English
676,The Life of St. Mochuda of Lismore,Saint Mochuda,45225.0,11216.0,"February 4, 2004",,English
677,The Headsman,James Fenimore Cooper,25529.0,5368.0,"February 4, 2004",,English
678,After Waterloo: Reminiscences of European Travel 1815-1819,Major W. E Frye,53744.0,12144.0,"February 4, 2004",,English
679,"Manners, Custom and Dress During the Middle Ages and During the Renaissance Period",Paul Lacroix,92556.0,15618.0,"February 4, 2004",,English
680,The Claim Jumpers,Stewart Edward White,13330.0,4697.0,"February 4, 2004",,English
681,Elusive Isabel,Jacques Futrelle,4788.0,1601.0,"February 4, 2004",,English
682,From a Bench in Our Square,Samuel Hopkins Adams,16398.0,4377.0,"February 4, 2004",,English
683,Lays of the Scottish Cavaliers and Other Poems,W.E. Aytoun,57424.0,10970.0,"February 4, 2004",,English
684,Three Frenchmen in Bengal,S.C. Hill,39136.0,6872.0,"February 4, 2004",,English
685,The Stories of the Three Burglars,Frank Richard Stockton,19583.0,5128.0,"February 5, 2004",,English
686,The Romance of Zion Chapel [3d ed.],Richard Le Gallienne,75195.0,11465.0,"February 5, 2004",,English
687,"The Mirror of Literature, Amusement, and Instruction",Various,116189.0,13025.0,"February 5, 2004",,English
688,"A Compilation of the Messages and Papers of the Presidents, Volume",James D. Richardson,62353.0,13149.0,"February 5, 2004 ",,English
689,"Punch, or the London Charivari, Vol. 156, Jan. 15, 1919",Various,9962.0,2764.0,"February 5, 2004 ",,English
690,The Girl Aviators' Sky Cruise,Margaret Burnham,61796.0,9372.0,"February 6, 2004",,English
691,The Gospels in the Second Century,William Sanday,74629.0,13212.0,"February 6, 2004",,English
692,Indian speeches (1907-1909),John Morley (AKA Viscount Morley),4020.0,1423.0,"February 6, 2004",,English
693,"The Love Affairs of Great Musicians, Volume 1",Rupert Hughes,128472.0,18612.0,"February 6, 2004",,English
694,An Unwilling Maid,Jeanie Gould Lincoln,4846.0,1648.0,"February 6, 2004",,English
695,The Visits of Elizabeth,Elinor Glyn,4091.0,1393.0,"February 6, 2004",,English
696,Vergil,Tenney Frank,145824.0,16791.0,"February 6, 2004",,English
697,Lawn Tennis for Ladies,Mrs. Lambert Chambers,127858.0,17260.0,"February 6, 2004",,English
698,Concerning Animals and Other Matters,"E.H. Aitken, (AKA Edward Hamilton)",25284.0,6346.0,"February 6, 2004",,English
699,The Grip of Desire,Hector France,5312.0,1833.0,"February 6, 2004 ",,English
700,"Punch, or the London Charivari, Vol. 156, Jan. 1, 1919",Various,73603.0,10714.0,"February 6, 2004 ",,English
701,The World Turned Upside Down,Anonymous,5764.0,1792.0,"February 6, 2004",,English
702,Four Weeks in the Trenches,Fritz Kreisler,160335.0,16649.0,"February 6, 2004",,English
703,A Century of Negro Migration,Carter G. Woodson,126760.0,18167.0,"February 6, 2004",,English
704,Ski-running,Katharine Symonds Furse,64126.0,10112.0,"February 7, 2004",,English
705,Pragmatism,D.L. Murray,106480.0,18332.0,"February 7, 2004",,English
706,"With the ""Die-Hards"" in Siberia",John Ward,9440.0,2754.0,"February 6, 2004 ",,English
707,The Late Mrs. Null,Frank Richard Stockton,113636.0,18698.0,"February 7, 2004",,English
708,A Ride to India across Persia and Baluchistan,Harry De Windt,17380.0,4933.0,"February 7, 2004",,English
709,The Apricot Tree,Unknown,96048.0,17959.0,"February 7, 2004",,English
710,The Grizzly King,James Oliver Curwood,149692.0,13439.0,"February 7, 2004 ",,English
711,Hidden Creek,Katharine Newlin Burt,13782.0,4444.0,"February 7, 2004 ",,English
712,Footsteps on the Road to Learning;,Anonymous,75713.0,14131.0,"February 7, 2004",,English
713,Lady John Russell,,68105.0,12698.0,"February 7, 2004 ",,English
714,Child's New Story Book;,Anonymous,5624.0,2342.0,"February 7, 2004",,English
715,The Young Captives,Anonymous,12204.0,3350.0,"February 8, 2004",,English
716,Growth of the Soil,Knut Hamsun,80663.0,15174.0,"February 8, 2004",,English
717,The Infant System,Samuel Wilderspin,7479.0,2480.0,"February 8, 2004",,English
718,Frederick Douglass,Charles Waddell Chesnutt,320225.0,36088.0,"February 8, 2004",,English
719,The Adventures of Little Bewildered Henry,Anonymous,41089.0,7894.0,"February 8, 2004",,English
720,The Devil's Admiral,Frederick Ferdinand Moore,55083.0,9676.0,"February 8, 2004",,English
721,Our Saviour,Anonymous,51568.0,10373.0,"February 8, 2004",,English
722,Selected Speeches on British Foreign Policy 1738-1914,,20843.0,5514.0,"February 8, 2004 ",,English
723,Dogs and All About Them,Robert Leighton,114636.0,16972.0,"February 8, 2004",,English
724,Cleopatra,Jacob Abbott,132854.0,18995.0,"February 8, 2004 ",,English
725,"The World's Greatest Books, Volume V.","Arthur Mee and J.A. Hammerton, Eds.",170707.0,22759.0,"February 8, 2004",,English
726,The Good Resolution,Anonymous,56067.0,9532.0,"February 8, 2004",,English
727,"Two Years Ago, Volume II.",Charles Kingsley,43205.0,9476.0,"February 8, 2004",,English
728,Whig Against Tory,Unknown,120844.0,11662.0,"February 9, 2004",,English
729,The World of Waters,Mrs. David Osborne,30753.0,6599.0,"February 9, 2004",,English
730,A Catechism of the Steam Engine,John Bourne,5445.0,2018.0,"February 9, 2004",,English
731,Michelangelo's Shoulder,John Moncure Wetterau,20887.0,5059.0,"February 9, 2004 ",,English
732,Joe Burke's Last Stand,John Moncure Wetterau,93423.0,17254.0,"February 9, 2004 ",,English
733,O+F,John Moncure Wetterau,53903.0,7900.0,"February 9, 2004 ",,English
734,The Book With The Yellow Cover,John Moncure Wetterau,64869.0,9747.0,"February 9, 2004 ",,English
735,"Jemmy Stubbins, or The Nailer Boy",Unknown Author,69301.0,14556.0,"February 9, 2004",,English
736,Antwerp to Gallipoli,Arthur Ruhl,61370.0,12552.0,"February 9, 2004",,English
737,Labor's Martyrs,Vito Marcantonio,80802.0,14400.0,"February 9, 2004",,English
738,"The Spectator, Volume 2.",Addison and Steele,6727.0,2221.0,"February 9, 2004",,English
739,A Hilltop on the Marne,Mildred Aldrich,182733.0,14475.0,"February 9, 2004 ",,English
740,The Autobiography of an Ex-Colored Man,James Weldon Johnson,189184.0,21707.0,"February 9, 2004",,English
741,Christmas in Legend and Story,Elva S. Smith,65632.0,11919.0,"February 10, 2004",,English
742,"Pantheism, Its Story and Significance",J. Allanson Picton,51667.0,10195.0,"February 10, 2004",,English
743,The Port of Adventure,Charles Norris Williamson and Alice Muriel Williamson,43782.0,7712.0,"February 10, 2004",,English
744,"Samuel F. B. Morse, His Letters and Journals",Samuel F. B. Morse,55447.0,10163.0,"February 10, 2004",,English
745,"Samuel F. B. Morse, His Letters and Journals",Samuel F. B. Morse,16606.0,4963.0,"February 10, 2004",,English
746,Van Bibber and Others,Richard Harding Davis,150281.0,15333.0,"February 10, 2004",,English
747,Angels & Ministers,Laurence Housman,39484.0,8423.0,"February 10, 2004",,English
748,A Compilation of the Messages and Papers of the Presidents,James D. Richardson,142171.0,20811.0,"February 10, 2004",,English
749,Sowing and Reaping,Frances Ellen Watkins Harper,33634.0,6999.0,"February 10, 2004 ",,English
750,"Gems of Poetry, for Girls and Boys",Unknown,33949.0,9459.0,"February 10, 2004 ",,English
751,Phaethon,Charles Kingsley,21454.0,5051.0,"February 10, 2004 ",,English
752,Literary and General Lectures and Essays,Charles Kingsley,41241.0,7701.0,"February 10, 2004 ",,English
753,Grimm's Fairy Stories,Jacob Grimm and Wilhelm Grimm,84599.0,14548.0,"February 10, 2004 ",,English
754,Philippine Folk-Tales,"Clara Kern Bayliss, Berton L. Maxfield, W. H. Millington,",99594.0,12861.0,"February 10, 2004",,English
755,American Hero-Myths,Daniel G. Brinton,18699.0,6366.0,"February 11, 2004",,English
756,Samuel Johnson,Leslie Stephen,37042.0,9567.0,"February 11, 2004",,English
757,"Wilson's Tales of the Borders and of Scotland, Vol. XXIII.",Various,87382.0,19042.0,"February 11, 2004",,English
758,The Angel Over the Right Shoulder,Elizabeth Wooster Stuart Phelps,51798.0,9464.0,"February 11, 2004",,English
759,A Compilation of the Messages and Papers of the Presidents,James D. Richardson,41573.0,8668.0,"February 11, 2004",,English
760,A Woman's Journey Round the World,Ida Pfeiffer,30866.0,9342.0,"February 11, 2004 ",,English
761,The Half-Back,Ralph Henry Barbour,5266.0,1968.0,"February 11, 2004 ",,English
762,Midnight,Octavus Roy Cohen,16712.0,5592.0,"February 11, 2004 ",,English
763,The Existence of God,Francois de Salignac de La Mothe- Fenelon,50826.0,8779.0,"February 11, 2004 ",,English
764,The Ghost Ship,Richard Middleton,83952.0,17068.0,"February 11, 2004",,English
765,Libro segundo de lectura,Ellen M. Cyr,26963.0,4203.0,"February 12, 2004",,Spanish and English
766,Taquisara,F. Marion Crawford,3958.0,1411.0,"February 12, 2004",,English
767,The Cruise of the Dazzler,Jack London,34676.0,7987.0,"February 12, 2004",,English
768,The Custom of the Country,Edith Wharton,14966.0,5367.0,"February 12, 2004",,English
769,Minnie's Sacrifice,Frances Ellen Watkins Harper,10676.0,3407.0,"February 12, 2004",,English
770,"Poems (1786), Volume I.",Helen Maria Williams,16447.0,4496.0,"February 12, 2004",,English
771,Lord Dolphin,Harriet A. Cheever,98742.0,20252.0,"February 12, 2004",,English
772,Trial and Triumph,Frances Ellen Watkins Harper,227844.0,18595.0,"February 12, 2004",,English
773,"The Wife of his Youth and Other Stories of the Color Line, and",Charles Waddell Chesnutt,197326.0,22508.0,"February 12, 2004 ",,English
774,Jack Archer,G. A. Henty,7304.0,2454.0,"February 12, 2004 ",,English
775,The Sylphs of the Season with Other Poems,Washington Allston,28808.0,6012.0,"February 12, 2004",,English
776,The Aspirations of Jean Servien,Anatole France,106109.0,18274.0,"February 12, 2004",,English
777,"Atlantic Monthly Volume 6, No. 34, August, 1860",Various,52164.0,8556.0,"February 12, 2004 ",,English
778,The Dozen from Lakerim,Rupert Hughes,88187.0,18673.0,"February 12, 2004 ",,English
779,A Man of Mark,Anthony Hope,61165.0,13276.0,"February 12, 2004 ",,English
780,Andromeda and Other Poems,Charles Kingsley,119351.0,17650.0,"February 12, 2004 ",,English
781,Aunt Mary's Primer,Anonymous,25037.0,4560.0,"February 12, 2004 ",,English
782,Graf von Loeben and the Legend of Lorelei,Allen Wilson Porterfield,45996.0,11616.0,"February 12, 2004 ",,English
783,Reform Cookery Book (4th edition),Mrs. Mill,75183.0,12909.0,"February 12, 2004",,English
784,The Spirit of the Age,William Hazlitt,16038.0,5432.0,"February 12, 2004",,English
785,Squinty the Comical Pig,Richard Barnum,3954.0,1437.0,"February 13, 2004",,English
786,The Illustrated Alphabet of Birds,Unknown,21125.0,5621.0,"February 13, 2004 ",,English
787,The Damned,Algernon Blackwood,19208.0,4388.0,"February 13, 2004",,English
788,"Punch, or the London Charivari, Vol. 153, Oct. 24, 1917",Various,4101.0,1500.0,"February 13, 2004 ",,English
789,"Ebooks: Neither E, Nor Books",Cory Doctorow,10092.0,2597.0,"February 13, 2004 ",,English
790,What Dress Makes of Us,Dorothy Quigley,243729.0,29912.0,"February 13, 2004",,English
791,Essays in Rebellion,Henry W. Nevinson,36479.0,10315.0,"February 14, 2004",,English
792,"The Orations of Marcus Tullius Cicero, Volume 4",Cicero,44876.0,10433.0,"February 14, 2004",,English
793,Old Saint Paul's,William Harrison Ainsworth,89587.0,19057.0,"February 14, 2004",,English
794,The Parables Of The Saviour,Anonymous,53870.0,12053.0,"February 14, 2004",,English
795,"Sonny, A Christmas Guest",Ruth McEnery Stuart,8506.0,2048.0,"February 14, 2004",,English
796,"M. or N. ""Similia similibus curantur.""",G.J. Whyte-Melville,115056.0,12682.0,"February 14, 2004",,English
797,A Surgeon in Belgium,Henry Sessions Souttar,14580.0,3845.0,"February 14, 2004 ",,English
798,"Atlantic Monthly, Volume 6, Issue 35, September, 1860",Various,16937.0,5892.0,"February 15, 2004 ",,English
799,"Crabbe, (George)",Alfred Ainger,102102.0,12864.0,"February 15, 2004",,English
800,The Education Of The Negro Prior To 1861,Carter Godwin Woodson,53137.0,8878.0,"February 15, 2004",,English
801,Industrial Progress and Human Economics,James Hartness,16139.0,5505.0,"February 15, 2004",,English
802,Poems,John L. Stoddard,47087.0,9351.0,"February 15, 2004",,English
803,Trailin'!,Max Brand,69723.0,10113.0,"February 15, 2004",,English
804,"Punch, or the London Charivari, Vol. 156, March 12, 1919",Various,78513.0,11703.0,"February 15, 2004 ",,English
805,Fun and Nonsense,Willard Bonte,35829.0,7426.0,"February 15, 2004",,English
806,Tales of Ind,T. Ramakrishna,89292.0,18398.0,"February 15, 2004",,English
807,Young Robin Hood,G. Manville Fenn,86544.0,18754.0,"February 15, 2004",,English
808,Happy and Gay Marching Away,Unknown,278849.0,34134.0,"February 15, 2004 ",,English
809,"More Seeds of Knowledge; Or, Another Peep at Charles.",Julia Corner,22260.0,5119.0,"February 15, 2004 ",,English
810,History Of Modern Philosophy,Richard Falckenberg,14587.0,3968.0,"February 15, 2004",,English
811,Coleridge's Ancient Mariner and Select Poems,Samuel Taylor Coleridge,168345.0,31923.0,"February 15, 2004",,English
812,"History of Negro Soldiers in the Spanish-American War, and Other Items of Interest",Edward A. Johnson,126874.0,25581.0,"February 15, 2004",,English
813,"Atlantic Monthly Volume 6, No. 37, November, 1860",Various,71607.0,14467.0,"February 15, 2004 ",,English
814,In Morocco,Edith Wharton,109185.0,11508.0,"February 15, 2004 ",,English
815,"Jack Mason, The Old Sailor",Theodore Thinker,66755.0,12294.0,"February 15, 2004",,English
816,The Girl at Cobhurst,Frank Richard Stockton,39215.0,7146.0,"February 15, 2004",,English
817,"Theobald, The Iron-Hearted",Anonymous,73487.0,12275.0,"February 15, 2004",,English
818,"Punch, or the London Charivari, Vol. 156, Feb. 12, 1919",Various,12947.0,3729.0,"February 15, 2004 ",,English
819,A Countess from Canada,Bessie Marchant,14267.0,5128.0,"February 16, 2004",,English
820,Only An Irish Boy,"Horatio Alger, Jr.",89649.0,18889.0,"February 16, 2004",,English
821,"The Mirror of Literature, Amusement, and Instruction, No. 351",Various,23731.0,6071.0,"February 16, 2004",,English
822,Principal Cairns,John Cairns,30094.0,6021.0,"February 16, 2004",,English
823,"Debate On Woman Suffrage In The Senate Of The United States,","Henry W. Blair, J.E. Brown, J.N. Dolph, G.G. Vest, Geo. F. Hoar.",85191.0,13907.0,"February 16, 2004",,English
824,Frank Merriwell at Yale,Burt L. Standish,29136.0,7823.0,"February 16, 2004",,English
825,The Wonderful Bed,Gertrude Knevels,35694.0,5632.0,"February 16, 2004 ",,English
826,"Atlantic Monthly Volume 7, No. 40, February, 1861",Various,64997.0,13081.0,"February 16, 2004 ",,English
827,"Atlantic Monthly Volume 7, No. 39, January, 1861",Various,20157.0,5661.0,"February 16, 2004 ",,English
828,Personal Memoirs Of A Residence Of Thirty Years With The Indian Tribes On The American Frontiers,Henry Rowe Schoolcraft,73933.0,8798.0,"February 16, 2004",,English
829,Hurrah for New England!,Louisa C. Tuthill,46242.0,9889.0,"February 16, 2004",,English
830,The Bracelets,Maria Edgeworth,50601.0,9035.0,"February 17, 2004",,English
831,"Choice Specimens of American Literature, And Literary Reader",Benj. N. Martin,98217.0,15691.0,"February 17, 2004",,English
832,"The German Classics of The Nineteenth and Twentieth Centuries,",Editor-in-Chief: Kuno Francke,7329.0,2572.0,"February 17, 2004",,English
833,Northumberland Yesterday and To-day,Jean F. Terry,11194.0,2841.0,"February 17, 2004",,English
834,A Compilation of the Messages and Papers of the Presidents,James D. Richardson,7695.0,2296.0,"February 17, 2004",,English
835,Ten Girls from Dickens,Kate Dickinson Sweetser,13419.0,4232.0,"February 17, 2004 ",,English
836,The Case of Jennie Brice,Mary Roberts Rinehart,38986.0,8406.0,"February 17, 2004",,English
837,The Red Thumb Mark,R. Austin Freeman,41911.0,8167.0,"February 17, 2004",,English
838,No and Other Stories Compiled by Uncle Humphrey,Various,88439.0,18253.0,"February 17, 2004 ",,English
839,"Punch, or the London Charivari, Vol. 156, Jan. 8, 1919",Various,88648.0,18584.0,"February 17, 2004 ",,English
840,"Atlantic Monthly, Volume 7, Issue 41, March, 1861",Various,40121.0,5972.0,"February 17, 2004 ",,English
841,"Monarch, The Big Bear of Tallac",Ernest Thompson Seton,89261.0,17925.0,"February 17, 2004 ",,English
842,A Discourse Upon The Origin And The Foundation Of,Jean Jacques Rousseau,93031.0,18313.0,"February 17, 2004",,English
843,"Twenty-Two Years a Slave, and Forty Years a Freeman",Austin Steward,87206.0,18339.0,"February 18, 2004",,English
844,Comic History of England,Bill Nye,117798.0,20483.0,"February 18, 2004",,English
845,Rollo at Play,Jacob Abbott,119759.0,15781.0,"February 18, 2004",,English
846,A Summer in Leslie Goldthwaite's Life.,Mrs. A. D. T. Whitney,4968.0,1534.0,"February 18, 2004",,English
847,Unitarianism,W.G. Tarrant,70530.0,12262.0,"February 18, 2004",,English
848,Mary Marie,Eleanor H. Porter,41661.0,5506.0,"February 18, 2004",,English
849,Somewhere in France,Richard Harding Davis,127561.0,16000.0,"February 18, 2004",,English
850,The Discovery of Yellowstone Park,Nathaniel Pitt Langford,65303.0,10024.0,"February 18, 2004",,English
851,The Expedition of the Donner Party and its Tragic Fate,Eliza Poor Donner Houghton,38140.0,8114.0,"February 18, 2004",,English
852,"Phebe, The Blackberry Girl",Edward Livermore,16462.0,5596.0,"February 18, 2004",,English
853,Aunt Harding's Keepsakes,Anonymous,89378.0,18562.0,"February 18, 2004",,English
854,Little Folded Hands,Anonymous,20072.0,4238.0,"February 18, 2004",,English
855,Gems Gathered in Haste,Anonymous,21433.0,5289.0,"February 18, 2004",,English
856,The Lost Trail,Edward S. Ellis,88153.0,18818.0,"February 18, 2004 ",,English
857,No Hero,E.W. Hornung,42511.0,7314.0,"February 18, 2004",,English
858,"Atlantic Monthly, Volume 8, Issue 45, July, 1861",Various,15930.0,5218.0,"February 18, 2004 ",,English
859,"Atlantic Monthly, Volume 7, Issue 42, April, 1861",Various,55630.0,12247.0,"February 18, 2004 ",,English
860,Buddy And Brighteyes Pigg,Howard R. Garis,112485.0,20643.0,"February 19, 2004",,English
861,"Atlantic Monthly, Vol. 8, No. 46, August, 1861",Various,7635.0,2276.0,"February 19, 2004",,English
862,"Atlantic Monthly, Vol. 10, No. 61, November, 1862",Various,8109.0,2693.0,"February 19, 2004",,English
